0,230,3,0.7,7,32.86,7,32.86
1,230,3,0.5,没有输出值,没有输出值,没有输出值,没有输出值
2,230,11,0.7,6,38.33,6,38.33
3,230,11,0.9,5,46,5,46
4,180,3,0.7,6,30,6,30
5,180,3,0.9,5,36,5,36
6,180,11,0.7,6,30,6,30
7,180,11,0.9,5,36,5,36
8,-100,-3,-0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
9,-100,-3,0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
10,-100,3,0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
11,-100,3,-0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
12,100,-3,-0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
13,100,-3,-0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
14,100,3,-0.1,输入超出范围,输入超出范围,输入超出范围,输入超出范围
